;Albania;Andorra;Armenia;Austria;Azerbaijan;Belarus;Belgium;Bosnia and Herzegovina;Bulgaria;Croatia;Cyprus;Czechia;Denmark;Estonia;Finland;France;Germany;Georgia;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Liechtenstein;Lithuania;Luxembourg;Malta;Moldova;Monaco;Montenegro;Netherlands;North Macedonia;Norway;Poland;Portugal;Romania;Russia;San Marino;Serbia;Slovakia;Slovenia;Spain;Sweden;Switzerland;Turkey;Ukraine;United Kingdom;Vatican City;
Albania;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;501.32;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;132.001;INF;153.214;INF;INF;INF;INF;INF;INF;391.333;INF;INF;INF;INF;INF;INF;INF;INF;INF;
Andorra;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;709.057;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;493.984;INF;INF;INF;INF;INF;INF;
Armenia;INF;INF;INF;INF;453.525;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;170.25;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;992.056;INF;INF;INF;
Austria;INF;INF;INF;INF;INF;INF;INF;INF;INF;268.224;INF;251.408;INF;INF;INF;INF;523.804;INF;INF;215.696;INF;INF;763.69;INF;525.649;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;55.6781;278.042;INF;INF;683.384;INF;INF;INF;INF;
Azerbaijan;INF;INF;453.525;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;448.337;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;1930.61;INF;INF;INF;INF;INF;INF;INF;1443.52;INF;INF;INF;
Belarus;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;402.327;INF;172.134;INF;INF;INF;INF;INF;INF;INF;INF;475.109;INF;INF;675.895;INF;INF;INF;INF;INF;INF;INF;INF;434.752;INF;INF;
Belgium;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;263.694;648.919;INF;INF;INF;INF;INF;INF;INF;INF;INF;186.173;INF;INF;INF;INF;173.77;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;
Bosnia and Herzegovina;INF;INF;INF;INF;INF;INF;INF;INF;INF;289.424;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;171.985;INF;INF;INF;INF;INF;INF;INF;INF;195.208;INF;INF;INF;INF;INF;INF;INF;INF;INF;
Bulgaria;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;526.302;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;173.316;INF;INF;INF;296.114;INF;INF;328.633;INF;INF;INF;INF;INF;853.919;INF;INF;INF;
Croatia;INF;INF;INF;268.224;INF;INF;INF;289.424;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;300.089;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;456.999;INF;INF;INF;INF;INF;INF;INF;INF;367.37;INF;117.459;INF;INF;INF;INF;INF;INF;INF;
Cyprus;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;
Czechia;INF;INF;INF;251.408;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;280.531;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;517.144;INF;INF;INF;INF;INF;290.509;INF;INF;INF;INF;INF;INF;INF;INF;
Denmark;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;355.626;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;
Estonia;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;279.467;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;867.465;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;
Finland;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;787.784;INF;INF;INF;893.999;INF;INF;INF;INF;INF;397.012;INF;INF;INF;INF;INF;
France;INF;709.057;INF;INF;INF;INF;263.694;INF;INF;INF;INF;INF;INF;INF;INF;INF;875.718;INF;INF;INF;INF;INF;1105.32;INF;INF;INF;286.125;INF;INF;689.973;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;1053.03;INF;434.549;INF;INF;INF;INF;
Germany;INF;INF;INF;523.804;INF;INF;648.919;INF;INF;INF;INF;280.531;355.626;INF;INF;875.718;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;600.974;INF;INF;INF;INF;575.062;INF;INF;518.561;INF;INF;INF;INF;INF;INF;INF;INF;INF;751.472;INF;INF;INF;INF;
Georgia;INF;INF;170.25;INF;448.337;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;1647.97;INF;INF;INF;INF;INF;INF;INF;1023.8;INF;INF;INF;
Greece;501.32;INF;INF;INF;INF;INF;INF;INF;526.302;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;488.171;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;817.309;INF;INF;INF;
Hungary;INF;INF;INF;215.696;INF;INF;INF;INF;INF;300.089;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;641.661;INF;INF;316.762;162.121;381.802;INF;INF;INF;INF;900.078;INF;INF;
Iceland;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;
Ireland;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;567.221;INF;
Italy;INF;INF;INF;763.69;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;1105.32;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;224.423;INF;INF;488.296;INF;INF;689.542;INF;INF;INF;3.3497;
Latvia;INF;INF;INF;INF;INF;402.327;INF;INF;INF;INF;INF;INF;INF;279.467;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;261.342;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;841.522;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;
Liechtenstein;INF;INF;INF;525.649;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;159.093;INF;INF;INF;INF;
Lithuania;INF;INF;INF;INF;INF;172.134;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;261.342;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;392.726;INF;INF;790.924;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;INF;
